"","date","site","site_sampled","survey_period","ID","quadrant","length_mm","app_gosner","distance_from_shore_cm","depth_captured_cm","surface_temp","swabbed","Bd","GE_load","tail_short","record_type","amb_temp","adult_location","weight_g","SVL_mm","sex","elevation","Bd_binary","mean_temp","min_temp","max_temp","raw_count","species_richness","shannon_index"
"63","4/10/2022",47,23,1,"A63",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",3,33,"Male",1169,0,NA,NA,NA,NA,NA,NA
"64","4/10/2022",47,23,1,"A64",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",3,32,"Male",1169,0,NA,NA,NA,NA,NA,NA
"65","6/10/2022",9,22,1,"A65",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",16.9,"In grass on water",32,33,"Male",1103,0,12,10,20,333,4,1.111914638
"66","6/10/2022",9,22,1,"A66",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",16.9,"In grass on water",225,29,"Male",1103,0,12,10,20,333,4,1.111914638
"67","6/10/2022",9,22,1,"A67",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",16.9,"In grass on water",25,28,"Male",1103,1,12,10,20,333,4,1.111914638
"68","6/10/2022",9,22,1,"A68",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",16.9,"In grass on water",5,41,"Female",1103,0,12,10,20,333,4,1.111914638
"69","6/10/2022",9,22,1,"A69",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",16.9,"In grass on water",3,27,"Male",1103,0,12,10,20,333,4,1.111914638
"70","6/10/2022",9,22,1,"A70",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",16.9,"In grass on water",23,28,"Male",1103,1,12,10,20,333,4,1.111914638
"71","6/10/2022",9,22,1,"A71",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",16.9,"In grass on water",34,35,"Male",1103,0,12,10,20,333,4,1.111914638
"72","6/10/2022",9,22,1,"A72",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",16.9,"In grass on water",225,31,"Male",1103,0,12,10,20,333,4,1.111914638
